NPS Score,Feedback
10,"Absolutely love the intuitive interface! It's so easy to navigate and create budgets quickly."
9,"This software has streamlined our budgeting process. The features are exactly what we needed."
3,"Couldn't get the software to install properly. Customer support was unhelpful and hard to reach."
8,"Pretty good overall, but I wish it had more advanced features for complex productions."
10,"Best budgeting software I've used in my 15 years as a Production Accountant. So user-friendly!"
2,"Encountered multiple bugs that disrupted my work. Support team couldn't resolve the issues."
7,"It's okay. Gets the job done, but nothing special compared to other options out there."
9,"The real-time collaboration feature is a game-changer for our team. Great job!"
1,"Terrible experience. Couldn't figure out how to use it, and customer support was non-existent."
10,"Absolutely love how easy it is to track and adjust budgets on the fly. Saving us so much time!"
6,"It's fine, but the learning curve was steeper than expected. Could use better onboarding materials."
9,"The customizable templates are fantastic. Saves us hours of work on each new project."
4,"Software crashed multiple times, losing my work. Frustrating and unreliable."
8,"Good software, but I feel like there's untapped potential. A few more features would make it perfect."
10,"The reporting features are incredible. Makes presenting to producers and executives so much easier."
2,"Waste of money. Couldn't get it to work with our existing systems. Support was unhelpful."
7,"Decent software, but the price point is a bit high for what it offers."
10,"Game-changer for our production company. The efficiency gains are remarkable!"
5,"Mixed feelings. Some great features, but also some frustrating bugs that need to be ironed out."
9,"The integration with other industry-standard tools is seamless. Great job on interoperability!"
10,"Exceptional software! The automated cost tracking feature has revolutionized our budgeting process."
3,"Disappointed. The software is not as user-friendly as advertised. Steep learning curve."
9,"Very impressed with the depth of financial reporting options. Saves us so much time!"
8,"Solid software overall. Would love to see more customization options for different production types."
1,"Completely frustrating experience. Constant crashes and data loss. Avoid at all costs!"
10,"The cloud-based collaboration feature is fantastic. Our team can work seamlessly from different locations."
7,"It's good, but the price is a bit steep. Would be 5 stars if it were more affordable."
9,"Great software! The built-in industry-standard budget templates are a huge time-saver."
4,"Too complicated for our small production company. Overkill for our needs and hard to use."
10,"Absolutely love how it integrates with our other production software. Streamlines our entire workflow!"
6,"Decent features, but encountered several bugs. Customer support was slow to respond."
9,"The ability to generate instant budget reports in various formats is incredibly useful."
2,"Couldn't get the hang of it. Tutorial videos were unclear, and support wasn't helpful."
8,"Very good software. Would be perfect with a few more advanced features for VFX budgeting."
10,"This software has cut our budgeting time in half! Intuitive and powerful."
5,"It's okay, but not significantly better than our old system. Expected more for the price."
9,"The scenario planning feature is brilliant. Helps us prepare for various budget contingencies easily."
3,"Frustrating installation process. Took days to get it working, with little help from support."
10,"Best decision we've made for our production accounting. Easy to use and incredibly comprehensive."
7,"Good software with potential. Needs some UI improvements and additional customization options."
9,"The real-time budget tracking feature is a lifesaver during production. Highly recommend!"
4,"Too many glitches. Lost work multiple times. Not reliable enough for professional use."
10,"Fantastic tool! The ability to easily share budget info with producers and department heads is invaluable."
8,"Solid software. Would appreciate more frequent updates and new features."
2,"Overly complex and poorly documented. Wasted too much time trying to figure it out."
9,"Love how it handles multi-currency budgets. Perfect for our international co-productions!"
6,"Decent features, but customer support is lacking. Long wait times for assistance."
10,"This software has transformed our budgeting process. Incredibly intuitive and powerful!"
3,"Not impressed. UI is clunky and outdated. Expected better for the price."
9,"The forecasting tools are excellent. Helps us stay ahead of potential budget issues."
7,"Good overall, but there's room for improvement in the user interface."
10,"Amazingly flexible software. Handles everything from small indies to big studio productions with ease."
5,"Middle of the road. Some good features, but also some frustrating limitations."
9,"The customizable report templates are a huge time-saver. Very impressed!"
1,"Complete disaster. Couldn't import our existing budget data. Support was useless."
10,"Best budgeting software I've used in 20 years of production accounting. Highly recommend!"
8,"Very good tool. Would love to see more integration with popular project management software."
4,"Too many bugs. Keeps crashing on complex budgets. Not reliable enough for professional use."
9,"The multi-user access feature is fantastic for our team. Great collaboration tools!"
6,"It's okay. Does the job, but the learning curve is steeper than expected."
10,"Incredible software! The automated cost tracking has revolutionized our budgeting process."
